使用命令行指定的mode: full
=== Training Mode: full ===
Parameters: M=3, N=8, F=10, K=3, C_cache=10, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-44317643.646, avg_energy=44317643.646, avg_D=0.056, hit_rate=0.328, energy_eff=0.847, epsilon=0.99
Episode 10/1500: avg_reward=-42662443.827, avg_energy=42662443.827, avg_D=0.056, hit_rate=0.335, energy_eff=0.873, epsilon=0.90
Episode 20/1500: avg_reward=-42711723.558, avg_energy=42711723.558, avg_D=0.056, hit_rate=0.329, energy_eff=0.877, epsilon=0.82
Episode 30/1500: avg_reward=-40333289.240, avg_energy=40333289.240, avg_D=0.056, hit_rate=0.299, energy_eff=0.980, epsilon=0.74
Episode 40/1500: avg_reward=-38390354.842, avg_energy=38390354.842, avg_D=0.059, hit_rate=0.307, energy_eff=1.128, epsilon=0.67
Episode 50/1500: avg_reward=-40232812.085, avg_energy=40232812.085, avg_D=0.058, hit_rate=0.354, energy_eff=0.983, epsilon=0.61
Episode 60/1500: avg_reward=-42153958.766, avg_energy=42153958.766, avg_D=0.059, hit_rate=0.329, energy_eff=0.932, epsilon=0.55
Episode 70/1500: avg_reward=-36266916.306, avg_energy=36266916.306, avg_D=0.061, hit_rate=0.336, energy_eff=1.112, epsilon=0.49
Episode 80/1500: avg_reward=-35819485.259, avg_energy=35819485.259, avg_D=0.057, hit_rate=0.356, energy_eff=1.143, epsilon=0.45
Episode 90/1500: avg_reward=-36229803.334, avg_energy=36229803.334, avg_D=0.058, hit_rate=0.380, energy_eff=1.216, epsilon=0.40
Episode 100/1500: avg_reward=-37597677.614, avg_energy=37597677.614, avg_D=0.058, hit_rate=0.370, energy_eff=1.097, epsilon=0.37
Episode 110/1500: avg_reward=-36321172.544, avg_energy=36321172.544, avg_D=0.056, hit_rate=0.363, energy_eff=1.171, epsilon=0.33
Episode 120/1500: avg_reward=-32577615.628, avg_energy=32577615.628, avg_D=0.055, hit_rate=0.363, energy_eff=1.292, epsilon=0.30
Episode 130/1500: avg_reward=-29620832.759, avg_energy=29620832.759, avg_D=0.059, hit_rate=0.297, energy_eff=1.370, epsilon=0.27
Episode 140/1500: avg_reward=-33081244.010, avg_energy=33081244.010, avg_D=0.058, hit_rate=0.312, energy_eff=1.204, epsilon=0.24
Episode 150/1500: avg_reward=-28642023.708, avg_energy=28642023.708, avg_D=0.059, hit_rate=0.284, energy_eff=1.381, epsilon=0.22
Episode 160/1500: avg_reward=-28435549.421, avg_energy=28435549.421, avg_D=0.059, hit_rate=0.273, energy_eff=1.417, epsilon=0.20
Episode 170/1500: avg_reward=-30235227.422, avg_energy=30235227.422, avg_D=0.060, hit_rate=0.281, energy_eff=1.291, epsilon=0.18
Episode 180/1500: avg_reward=-24485932.910, avg_energy=24485932.910, avg_D=0.059, hit_rate=0.307, energy_eff=1.523, epsilon=0.16
Episode 190/1500: avg_reward=-26913589.096, avg_energy=26913589.096, avg_D=0.063, hit_rate=0.291, energy_eff=1.473, epsilon=0.15
Episode 200/1500: avg_reward=-30029701.069, avg_energy=30029701.069, avg_D=0.060, hit_rate=0.269, energy_eff=1.320, epsilon=0.13
Episode 210/1500: avg_reward=-25001167.081, avg_energy=25001167.081, avg_D=0.060, hit_rate=0.268, energy_eff=1.504, epsilon=0.12
Episode 220/1500: avg_reward=-27930804.543, avg_energy=27930804.543, avg_D=0.063, hit_rate=0.289, energy_eff=1.457, epsilon=0.11
Episode 230/1500: avg_reward=-24716028.097, avg_energy=24716028.097, avg_D=0.059, hit_rate=0.287, energy_eff=1.558, epsilon=0.10
Episode 240/1500: avg_reward=-22903647.418, avg_energy=22903647.418, avg_D=0.060, hit_rate=0.278, energy_eff=1.677, epsilon=0.10
Episode 250/1500: avg_reward=-22769052.615, avg_energy=22769052.615, avg_D=0.060, hit_rate=0.273, energy_eff=1.542, epsilon=0.10
Episode 260/1500: avg_reward=-24873129.665, avg_energy=24873129.665, avg_D=0.058, hit_rate=0.259, energy_eff=1.490, epsilon=0.10
