使用命令行指定的mode: full
=== Training Mode: full ===
Parameters: M=3, N=8, F=10, K=3, C_cache=9, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-41400276.776, avg_energy=41400276.776, avg_D=0.057, hit_rate=0.298, energy_eff=0.903, epsilon=0.99
Episode 10/1500: avg_reward=-42751482.490, avg_energy=42751482.490, avg_D=0.056, hit_rate=0.303, energy_eff=0.872, epsilon=0.90
Episode 20/1500: avg_reward=-40760170.188, avg_energy=40760170.188, avg_D=0.055, hit_rate=0.283, energy_eff=0.911, epsilon=0.82
Episode 30/1500: avg_reward=-41485347.067, avg_energy=41485347.067, avg_D=0.054, hit_rate=0.312, energy_eff=0.898, epsilon=0.74
Episode 40/1500: avg_reward=-38517930.070, avg_energy=38517930.070, avg_D=0.060, hit_rate=0.308, energy_eff=1.017, epsilon=0.67
Episode 50/1500: avg_reward=-40405811.681, avg_energy=40405811.681, avg_D=0.057, hit_rate=0.291, energy_eff=0.971, epsilon=0.61
Episode 60/1500: avg_reward=-37436042.345, avg_energy=37436042.345, avg_D=0.057, hit_rate=0.269, energy_eff=1.043, epsilon=0.55
Episode 70/1500: avg_reward=-35846462.352, avg_energy=35846462.352, avg_D=0.058, hit_rate=0.289, energy_eff=1.123, epsilon=0.49
Episode 80/1500: avg_reward=-36460003.241, avg_energy=36460003.241, avg_D=0.057, hit_rate=0.262, energy_eff=1.119, epsilon=0.45
Episode 90/1500: avg_reward=-34744406.699, avg_energy=34744406.699, avg_D=0.060, hit_rate=0.288, energy_eff=1.208, epsilon=0.40
Episode 100/1500: avg_reward=-37176639.247, avg_energy=37176639.247, avg_D=0.059, hit_rate=0.310, energy_eff=1.059, epsilon=0.37
Episode 110/1500: avg_reward=-32721743.402, avg_energy=32721743.402, avg_D=0.057, hit_rate=0.327, energy_eff=1.251, epsilon=0.33
Episode 120/1500: avg_reward=-28620853.812, avg_energy=28620853.812, avg_D=0.056, hit_rate=0.290, energy_eff=1.358, epsilon=0.30
Episode 130/1500: avg_reward=-29701192.710, avg_energy=29701192.710, avg_D=0.055, hit_rate=0.359, energy_eff=1.347, epsilon=0.27
Episode 140/1500: avg_reward=-29093639.666, avg_energy=29093639.666, avg_D=0.057, hit_rate=0.340, energy_eff=1.355, epsilon=0.24
Episode 150/1500: avg_reward=-26738162.519, avg_energy=26738162.519, avg_D=0.060, hit_rate=0.355, energy_eff=1.531, epsilon=0.22
Episode 160/1500: avg_reward=-28610092.526, avg_energy=28610092.526, avg_D=0.056, hit_rate=0.352, energy_eff=1.319, epsilon=0.20
Episode 170/1500: avg_reward=-25333085.762, avg_energy=25333085.762, avg_D=0.057, hit_rate=0.379, energy_eff=1.519, epsilon=0.18
Episode 180/1500: avg_reward=-27098819.439, avg_energy=27098819.439, avg_D=0.054, hit_rate=0.352, energy_eff=1.449, epsilon=0.16
Episode 190/1500: avg_reward=-28732075.866, avg_energy=28732075.866, avg_D=0.055, hit_rate=0.384, energy_eff=1.386, epsilon=0.15
Episode 200/1500: avg_reward=-29634430.371, avg_energy=29634430.371, avg_D=0.054, hit_rate=0.386, energy_eff=1.292, epsilon=0.13
Episode 210/1500: avg_reward=-26047425.677, avg_energy=26047425.677, avg_D=0.057, hit_rate=0.370, energy_eff=1.434, epsilon=0.12
Episode 220/1500: avg_reward=-29145090.536, avg_energy=29145090.536, avg_D=0.056, hit_rate=0.314, energy_eff=1.311, epsilon=0.11
Episode 230/1500: avg_reward=-27547379.390, avg_energy=27547379.390, avg_D=0.055, hit_rate=0.295, energy_eff=1.340, epsilon=0.10
Episode 240/1500: avg_reward=-27108374.089, avg_energy=27108374.089, avg_D=0.052, hit_rate=0.316, energy_eff=1.335, epsilon=0.10
Episode 250/1500: avg_reward=-24084019.113, avg_energy=24084019.113, avg_D=0.056, hit_rate=0.339, energy_eff=1.552, epsilon=0.10
Episode 260/1500: avg_reward=-28012059.403, avg_energy=28012059.403, avg_D=0.056, hit_rate=0.291, energy_eff=1.408, epsilon=0.10
Episode 270/1500: avg_reward=-32184234.929, avg_energy=32184234.929, avg_D=0.055, hit_rate=0.372, energy_eff=1.121, epsilon=0.10
Episode 280/1500: avg_reward=-31230186.193, avg_energy=31230186.193, avg_D=0.056, hit_rate=0.416, energy_eff=1.156, epsilon=0.10
Episode 290/1500: avg_reward=-27548331.013, avg_energy=27548331.013, avg_D=0.057, hit_rate=0.332, energy_eff=1.261, epsilon=0.10
Episode 300/1500: avg_reward=-31567974.434, avg_energy=31567974.434, avg_D=0.060, hit_rate=0.355, energy_eff=1.148, epsilon=0.10
Episode 310/1500: avg_reward=-28297291.214, avg_energy=28297291.214, avg_D=0.060, hit_rate=0.296, energy_eff=1.300, epsilon=0.10
Episode 320/1500: avg_reward=-28123295.796, avg_energy=28123295.796, avg_D=0.047, hit_rate=0.312, energy_eff=1.217, epsilon=0.10
Episode 330/1500: avg_reward=-26253489.951, avg_energy=26253489.951, avg_D=0.046, hit_rate=0.338, energy_eff=1.329, epsilon=0.10
Episode 340/1500: avg_reward=-30035679.845, avg_energy=30035679.845, avg_D=0.054, hit_rate=0.238, energy_eff=1.165, epsilon=0.10
Episode 350/1500: avg_reward=-28268573.429, avg_energy=28268573.429, avg_D=0.060, hit_rate=0.319, energy_eff=1.215, epsilon=0.10
Episode 360/1500: avg_reward=-29984914.809, avg_energy=29984914.809, avg_D=0.056, hit_rate=0.290, energy_eff=1.168, epsilon=0.10
