使用命令行指定的mode: random_all
=== Training Mode: random_all ===
Parameters: M=3, N=8, F=10, K=3, C_cache=9, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-42800652.463, avg_energy=42800652.463, avg_D=0.058, hit_rate=0.300, energy_eff=0.861, epsilon=0.99
Episode 10/1500: avg_reward=-42954624.639, avg_energy=42954624.639, avg_D=0.055, hit_rate=0.303, energy_eff=0.889, epsilon=0.90
Episode 20/1500: avg_reward=-43019493.221, avg_energy=43019493.221, avg_D=0.055, hit_rate=0.288, energy_eff=0.878, epsilon=0.82
Episode 30/1500: avg_reward=-42281075.632, avg_energy=42281075.632, avg_D=0.056, hit_rate=0.291, energy_eff=0.887, epsilon=0.74
Episode 40/1500: avg_reward=-41304505.579, avg_energy=41304505.579, avg_D=0.057, hit_rate=0.298, energy_eff=0.908, epsilon=0.67
Episode 50/1500: avg_reward=-42247320.456, avg_energy=42247320.456, avg_D=0.056, hit_rate=0.296, energy_eff=0.883, epsilon=0.61
Episode 60/1500: avg_reward=-42099591.461, avg_energy=42099591.461, avg_D=0.056, hit_rate=0.296, energy_eff=0.887, epsilon=0.55
Episode 70/1500: avg_reward=-42509949.395, avg_energy=42509949.395, avg_D=0.057, hit_rate=0.299, energy_eff=0.871, epsilon=0.49
Episode 80/1500: avg_reward=-42425644.278, avg_energy=42425644.278, avg_D=0.055, hit_rate=0.297, energy_eff=0.875, epsilon=0.45
Episode 90/1500: avg_reward=-41372753.951, avg_energy=41372753.951, avg_D=0.057, hit_rate=0.303, energy_eff=0.895, epsilon=0.40
Episode 100/1500: avg_reward=-42395590.838, avg_energy=42395590.838, avg_D=0.055, hit_rate=0.316, energy_eff=0.889, epsilon=0.37
Episode 110/1500: avg_reward=-42251278.593, avg_energy=42251278.593, avg_D=0.057, hit_rate=0.301, energy_eff=0.883, epsilon=0.33
Episode 120/1500: avg_reward=-43592340.297, avg_energy=43592340.297, avg_D=0.054, hit_rate=0.302, energy_eff=0.851, epsilon=0.30
Episode 130/1500: avg_reward=-42352797.811, avg_energy=42352797.811, avg_D=0.057, hit_rate=0.303, energy_eff=0.888, epsilon=0.27
Episode 140/1500: avg_reward=-42959656.613, avg_energy=42959656.613, avg_D=0.056, hit_rate=0.277, energy_eff=0.871, epsilon=0.24
Episode 150/1500: avg_reward=-40809419.957, avg_energy=40809419.957, avg_D=0.058, hit_rate=0.306, energy_eff=0.916, epsilon=0.22
Episode 160/1500: avg_reward=-43664753.933, avg_energy=43664753.933, avg_D=0.055, hit_rate=0.294, energy_eff=0.864, epsilon=0.20
Episode 170/1500: avg_reward=-41922252.694, avg_energy=41922252.694, avg_D=0.057, hit_rate=0.296, energy_eff=0.892, epsilon=0.18
Episode 180/1500: avg_reward=-44300599.830, avg_energy=44300599.830, avg_D=0.058, hit_rate=0.304, energy_eff=0.848, epsilon=0.16
Episode 190/1500: avg_reward=-42548411.734, avg_energy=42548411.734, avg_D=0.054, hit_rate=0.284, energy_eff=0.880, epsilon=0.15
Episode 200/1500: avg_reward=-45012060.551, avg_energy=45012060.551, avg_D=0.055, hit_rate=0.293, energy_eff=0.844, epsilon=0.13
Episode 210/1500: avg_reward=-42409107.155, avg_energy=42409107.155, avg_D=0.057, hit_rate=0.287, energy_eff=0.896, epsilon=0.12
Episode 220/1500: avg_reward=-44194303.956, avg_energy=44194303.956, avg_D=0.057, hit_rate=0.301, energy_eff=0.848, epsilon=0.11
Episode 230/1500: avg_reward=-42894622.625, avg_energy=42894622.625, avg_D=0.056, hit_rate=0.300, energy_eff=0.877, epsilon=0.10
Episode 240/1500: avg_reward=-43095470.792, avg_energy=43095470.792, avg_D=0.056, hit_rate=0.297, energy_eff=0.857, epsilon=0.10
Episode 250/1500: avg_reward=-41468128.356, avg_energy=41468128.356, avg_D=0.057, hit_rate=0.305, energy_eff=0.895, epsilon=0.10
Episode 260/1500: avg_reward=-43420588.112, avg_energy=43420588.112, avg_D=0.057, hit_rate=0.300, energy_eff=0.857, epsilon=0.10
Episode 270/1500: avg_reward=-44020559.301, avg_energy=44020559.301, avg_D=0.057, hit_rate=0.307, energy_eff=0.878, epsilon=0.10
Episode 280/1500: avg_reward=-45408746.644, avg_energy=45408746.644, avg_D=0.056, hit_rate=0.300, energy_eff=0.833, epsilon=0.10
Episode 290/1500: avg_reward=-42223169.930, avg_energy=42223169.930, avg_D=0.058, hit_rate=0.293, energy_eff=0.898, epsilon=0.10
Episode 300/1500: avg_reward=-44582686.812, avg_energy=44582686.812, avg_D=0.056, hit_rate=0.297, energy_eff=0.842, epsilon=0.10
Episode 310/1500: avg_reward=-41412551.373, avg_energy=41412551.373, avg_D=0.057, hit_rate=0.304, energy_eff=0.909, epsilon=0.10
Episode 320/1500: avg_reward=-43394980.587, avg_energy=43394980.587, avg_D=0.055, hit_rate=0.303, energy_eff=0.858, epsilon=0.10
Episode 330/1500: avg_reward=-42363927.413, avg_energy=42363927.413, avg_D=0.057, hit_rate=0.296, energy_eff=0.873, epsilon=0.10
