使用命令行指定的mode: random_all
=== Training Mode: random_all ===
Parameters: M=3, N=8, F=10, K=3, C_cache=8, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-42694800.349, avg_energy=42694800.349, avg_D=0.057, hit_rate=0.280, energy_eff=0.890, epsilon=0.99
Episode 10/1500: avg_reward=-42712639.900, avg_energy=42712639.900, avg_D=0.056, hit_rate=0.265, energy_eff=0.877, epsilon=0.90
Episode 20/1500: avg_reward=-41706948.914, avg_energy=41706948.914, avg_D=0.056, hit_rate=0.273, energy_eff=0.914, epsilon=0.82
Episode 30/1500: avg_reward=-40633889.502, avg_energy=40633889.502, avg_D=0.054, hit_rate=0.267, energy_eff=0.933, epsilon=0.74
Episode 40/1500: avg_reward=-41256928.746, avg_energy=41256928.746, avg_D=0.056, hit_rate=0.270, energy_eff=0.909, epsilon=0.67
Episode 50/1500: avg_reward=-41130640.687, avg_energy=41130640.687, avg_D=0.055, hit_rate=0.263, energy_eff=0.916, epsilon=0.61
Episode 60/1500: avg_reward=-42677673.349, avg_energy=42677673.349, avg_D=0.056, hit_rate=0.267, energy_eff=0.864, epsilon=0.55
Episode 70/1500: avg_reward=-40157325.457, avg_energy=40157325.457, avg_D=0.056, hit_rate=0.267, energy_eff=0.926, epsilon=0.49
Episode 80/1500: avg_reward=-40643008.980, avg_energy=40643008.980, avg_D=0.055, hit_rate=0.255, energy_eff=0.936, epsilon=0.45
Episode 90/1500: avg_reward=-41293374.563, avg_energy=41293374.563, avg_D=0.057, hit_rate=0.269, energy_eff=0.911, epsilon=0.40
Episode 100/1500: avg_reward=-40538674.295, avg_energy=40538674.295, avg_D=0.056, hit_rate=0.259, energy_eff=0.922, epsilon=0.37
Episode 110/1500: avg_reward=-40900079.629, avg_energy=40900079.629, avg_D=0.058, hit_rate=0.270, energy_eff=0.913, epsilon=0.33
Episode 120/1500: avg_reward=-44403225.271, avg_energy=44403225.271, avg_D=0.056, hit_rate=0.259, energy_eff=0.862, epsilon=0.30
Episode 130/1500: avg_reward=-43661356.720, avg_energy=43661356.720, avg_D=0.057, hit_rate=0.270, energy_eff=0.871, epsilon=0.27
Episode 140/1500: avg_reward=-42850288.770, avg_energy=42850288.770, avg_D=0.057, hit_rate=0.273, energy_eff=0.882, epsilon=0.24
Episode 150/1500: avg_reward=-41368512.027, avg_energy=41368512.027, avg_D=0.057, hit_rate=0.256, energy_eff=0.920, epsilon=0.22
Episode 160/1500: avg_reward=-40704288.276, avg_energy=40704288.276, avg_D=0.056, hit_rate=0.267, energy_eff=0.916, epsilon=0.20
Episode 170/1500: avg_reward=-41722831.970, avg_energy=41722831.970, avg_D=0.055, hit_rate=0.255, energy_eff=0.891, epsilon=0.18
Episode 180/1500: avg_reward=-42645940.134, avg_energy=42645940.134, avg_D=0.055, hit_rate=0.269, energy_eff=0.873, epsilon=0.16
Episode 190/1500: avg_reward=-42387876.632, avg_energy=42387876.632, avg_D=0.055, hit_rate=0.265, energy_eff=0.891, epsilon=0.15
Episode 200/1500: avg_reward=-42986523.287, avg_energy=42986523.287, avg_D=0.056, hit_rate=0.262, energy_eff=0.861, epsilon=0.13
Episode 210/1500: avg_reward=-45440296.148, avg_energy=45440296.148, avg_D=0.058, hit_rate=0.258, energy_eff=0.834, epsilon=0.12
Episode 220/1500: avg_reward=-42441208.344, avg_energy=42441208.344, avg_D=0.056, hit_rate=0.260, energy_eff=0.889, epsilon=0.11
Episode 230/1500: avg_reward=-40694029.084, avg_energy=40694029.084, avg_D=0.057, hit_rate=0.273, energy_eff=0.931, epsilon=0.10
Episode 240/1500: avg_reward=-40432669.630, avg_energy=40432669.630, avg_D=0.055, hit_rate=0.274, energy_eff=0.929, epsilon=0.10
Episode 250/1500: avg_reward=-42657140.189, avg_energy=42657140.189, avg_D=0.057, hit_rate=0.254, energy_eff=0.889, epsilon=0.10
Episode 260/1500: avg_reward=-42334393.411, avg_energy=42334393.411, avg_D=0.056, hit_rate=0.268, energy_eff=0.885, epsilon=0.10
Episode 270/1500: avg_reward=-41604712.639, avg_energy=41604712.639, avg_D=0.055, hit_rate=0.267, energy_eff=0.900, epsilon=0.10
Episode 280/1500: avg_reward=-45579487.560, avg_energy=45579487.560, avg_D=0.055, hit_rate=0.274, energy_eff=0.836, epsilon=0.10
Episode 290/1500: avg_reward=-41069944.622, avg_energy=41069944.622, avg_D=0.057, hit_rate=0.275, energy_eff=0.919, epsilon=0.10
